protocol,model,metric,subset,excluded_folds,n_folds,mean,std,ci_low,ci_high,delta_vs_all_folds
main,majority,roc_auc,all_folds,none,5,0.5,0.0,0.5,0.5,0.0
main,majority,roc_auc,excluding_episode_dominated,4,4,0.5,0.0,0.5,0.5,0.0
main,majority,pr_auc,all_folds,none,5,0.2779816513761468,0.3031794317968451,0.0,0.6544286368341629,0.0
main,majority,pr_auc,excluding_episode_dominated,4,4,0.1479357798165138,0.09904964624628067,0.0,0.3055458701845809,-0.130045871559633
main,majority,f1,all_folds,none,5,0.0,0.0,0.0,0.0,0.0
main,majority,f1,excluding_episode_dominated,4,4,0.0,0.0,0.0,0.0,0.0
main,majority,precision,all_folds,none,5,0.0,0.0,0.0,0.0,0.0
main,majority,precision,excluding_episode_dominated,4,4,0.0,0.0,0.0,0.0,0.0
main,majority,recall,all_folds,none,5,0.0,0.0,0.0,0.0,0.0
main,majority,recall,excluding_episode_dominated,4,4,0.0,0.0,0.0,0.0,0.0
main,majority,brier,all_folds,none,5,0.23227402196718622,0.2493081372514965,0.0,0.5418309604516122,0.0
main,majority,brier,excluding_episode_dominated,4,4,0.12431791217302272,0.07194385857841834,0.009839178712652205,0.23879664563339326,-0.1079561097941635
main,persistence,roc_auc,all_folds,none,5,0.8037957312926182,0.12189359528711798,0.6524448424129837,0.9551466201722526,0.0
main,persistence,roc_auc,excluding_episode_dominated,4,4,0.7618632639067864,0.0899361956552195,0.6187547071196734,0.9049718206938994,-0.041932467385831784
main,persistence,pr_auc,all_folds,none,5,0.5334887747466072,0.31992061304479114,0.13625486724561253,0.9307226822476018,0.0
main,persistence,pr_auc,excluding_episode_dominated,4,4,0.4202814874261089,0.22589008872642968,0.060839948292291335,0.7797230265599264,-0.11320728732049828
main,persistence,f1,all_folds,none,5,0.6644382743693088,0.25404073468338406,0.34900504003571653,0.9798715087029011,0.0
main,persistence,f1,excluding_episode_dominated,4,4,0.5834214061800269,0.2056470446257408,0.25619106749917564,0.9106517448608782,-0.08101686818928189
main,persistence,precision,all_folds,none,5,0.6661470918676,0.25394259227350385,0.3508357174310529,0.9814584663041471,0.0
main,persistence,precision,excluding_episode_dominated,4,4,0.5855574280528908,0.20660226072253832,0.2568071274030391,0.9143077287027425,-0.08058966381470922
main,persistence,recall,all_folds,none,5,0.6627732727043071,0.2541915780137853,0.34715274163798643,0.9783938037706277,0.0
main,persistence,recall,excluding_episode_dominated,4,4,0.5813401540987748,0.20479776790458357,0.2554612041996287,0.9072191039979209,-0.08143311860553226
main,persistence,brier,all_folds,none,5,0.08800898425985444,0.03536044184195548,0.04410319666412033,0.13191477185558856,0.0
main,persistence,brier,excluding_episode_dominated,4,4,0.07964669953479145,0.03465490476384175,0.024503012721967983,0.13479038634761492,-0.008362284725062993
main,moisture_threshold,roc_auc,all_folds,none,5,0.8814094455228343,0.11568652872473975,0.7377656477281593,1.0,0.0
main,moisture_threshold,roc_auc,excluding_episode_dominated,4,4,0.8521210023058418,0.11011695841546564,0.6769003485766526,1.0,-0.029288443216992532
main,moisture_threshold,pr_auc,all_folds,none,5,0.700173757601781,0.2230346570435783,0.4232396535990463,0.9771078616045157,0.0
main,moisture_threshold,pr_auc,excluding_episode_dominated,4,4,0.6253808471193827,0.17038998777473754,0.35425235359385787,0.8965093406449075,-0.07479291048239833
main,moisture_threshold,f1,all_folds,none,5,0.6155312106175463,0.319427724370914,0.21890930523802732,1.0,0.0
main,moisture_threshold,f1,excluding_episode_dominated,4,4,0.5215630104066034,0.2778103857966468,0.07950469248261333,0.9636213283305934,-0.09396820021094299
main,moisture_threshold,precision,all_folds,none,5,0.5907117346938775,0.38384966498131406,0.11409942496400366,1.0,0.0
main,moisture_threshold,precision,excluding_episode_dominated,4,4,0.49124681122448977,0.3612463800093804,0.0,1.0,-0.09946492346938773
main,moisture_threshold,recall,all_folds,none,5,0.7445385878489327,0.1634656148042798,0.5415692190022142,0.9475079566956511,0.0
main,moisture_threshold,recall,excluding_episode_dominated,4,4,0.6821100164203612,0.09821320054032082,0.5258308978255453,0.8383891350151771,-0.0624285714285715
main,moisture_threshold,brier,all_folds,none,5,0.10434257056179794,0.04731375427394063,0.04559478525998639,0.16309035586360948,0.0
main,moisture_threshold,brier,excluding_episode_dominated,4,4,0.09153045602585583,0.04347934297394321,0.022345118824061483,0.16071579322765017,-0.01281211453594211
main,logistic,roc_auc,all_folds,none,5,0.9118775376466595,0.07998524236642084,0.8125627418126723,1.0,0.0
main,logistic,roc_auc,excluding_episode_dominated,4,4,0.8907612376278122,0.07454885077571852,0.7721373802706463,1.0,-0.021116300018847234
main,logistic,pr_auc,all_folds,none,5,0.6956019334077228,0.33357549897439304,0.28141324564836234,1.0,0.0
main,logistic,pr_auc,excluding_episode_dominated,4,4,0.6197427020368552,0.33166147117228084,0.09199529026826314,1.0,-0.07585923137086759
main,logistic,f1,all_folds,none,5,0.5987820397259513,0.38226720722568625,0.12413461081991894,1.0,0.0
main,logistic,f1,excluding_episode_dominated,4,4,0.50135111287583,0.3627015121478583,0.0,1.0,-0.09743092685012134
main,logistic,precision,all_folds,none,5,0.6314042306577803,0.3928544906762642,0.14361095305238675,1.0,0.0
main,logistic,precision,excluding_episode_dominated,4,4,0.5421288515406162,0.3906988341624788,0.0,1.0,-0.0892753791171641
main,logistic,recall,all_folds,none,5,0.5707586206896552,0.37478873777821164,0.10539693805821881,1.0,0.0
main,logistic,recall,excluding_episode_dominated,4,4,0.46632183908045977,0.33848956892042475,0.0,1.0,-0.10443678160919545
main,logistic,brier,all_folds,none,5,0.05334351229202352,0.03106973411848544,0.014765342003336991,0.09192168258071004,0.0
main,logistic,brier,excluding_episode_dominated,4,4,0.06357059596410619,0.024286132559260473,0.02492593954768177,0.10221525238053061,0.010227083672082672
main,xgboost,roc_auc,all_folds,none,5,0.847849392903486,0.16102852271400042,0.6479060735655746,1.0,0.0
main,xgboost,roc_auc,excluding_episode_dominated,4,4,0.8134690034073095,0.16338147270691095,0.5534926213233498,1.0,-0.0343803894961765
main,xgboost,pr_auc,all_folds,none,5,0.5960130079343795,0.4336991924409838,0.05750433463036375,1.0,0.0
main,xgboost,pr_auc,excluding_episode_dominated,4,4,0.4961167832036675,0.4292609322183371,0.0,1.0,-0.09989622473071202
main,xgboost,f1,all_folds,none,5,0.5022670086819213,0.4398331805413452,0.0,1.0,0.0
main,xgboost,f1,excluding_episode_dominated,4,4,0.3813950144136552,0.400671156458222,0.0,1.0,-0.12087199426826611
main,xgboost,precision,all_folds,none,5,0.5659663370998117,0.4725077376200491,0.0,1.0,0.0
main,xgboost,precision,excluding_episode_dominated,4,4,0.4631076388888889,0.47660466233918825,0.0,1.0,-0.1028586982109228
main,xgboost,recall,all_folds,none,5,0.47789213085764815,0.4517265738400741,0.0,1.0,0.0
main,xgboost,recall,excluding_episode_dominated,4,4,0.3488019451812555,0.40122398951784916,0.0,0.9872388466973896,-0.12909018567639263
main,xgboost,brier,all_folds,none,5,0.07576685115634245,0.046228312143209715,0.01836682027039306,0.13316688204229182,0.0
main,xgboost,brier,excluding_episode_dominated,4,4,0.0899509606924276,0.03883489885745762,0.02815597049993636,0.15174595088491882,0.014184109536085149
main,lightgbm,roc_auc,all_folds,none,5,0.8842020604879876,0.12948892910421247,0.7234203190533274,1.0,0.0
