model,n_rows,n_folds,n_onsets,roc_auc_mean,roc_auc_std,roc_auc_ci_low,roc_auc_ci_high,roc_auc_n_folds_scored,pr_auc_mean,pr_auc_std,pr_auc_ci_low,pr_auc_ci_high,pr_auc_n_folds_scored,f1_mean,f1_std,f1_ci_low,f1_ci_high,f1_n_folds_scored,precision_mean,precision_std,precision_ci_low,precision_ci_high,precision_n_folds_scored,recall_mean,recall_std,recall_ci_low,recall_ci_high,recall_n_folds_scored,brier_mean,brier_std,brier_ci_low,brier_ci_high,brier_n_folds_scored
majority,835,5,44,0.5,0.0,0.5,0.5,5,0.05269461077844312,0.03065026081932869,0.01463728538352728,0.09075193617335896,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,0.05057135393901668,0.028624107811039898,0.015029829789345292,0.08611287808868807,5
moisture_threshold,835,5,44,0.935179304892895,0.029980211171986612,0.8979539560220929,0.9724046537636971,5,0.38488863476958424,0.19014318114172263,0.14879469224197037,0.6209825772971981,5,0.4222061463440774,0.2605020995427014,0.09875006788541174,0.745662224802743,5,0.34416048186954074,0.25494694120788153,0.027602043519542596,0.6607189202195389,5,0.8580769230769232,0.1603458724650187,0.6589812259765372,1.0,5,0.04325430204399655,0.02306472258372963,0.014615666383222169,0.07189293770477093,5
logistic,835,5,44,0.7891002480193187,0.16963141414253569,0.5784750281141393,0.999725467924498,5,0.3242646164227477,0.1450278245425811,0.14418878795041246,0.5043404448950829,5,0.13146997929606624,0.14382902221911723,0.0,0.31005729808239335,5,0.35,0.4183300132670378,0.0,0.8694253168417838,5,0.09371794871794872,0.11038342415748435,0.0,0.2307770724927527,5,0.04691431006672995,0.024069952228840893,0.017027516945693762,0.07680110318776613,5
xgboost,835,5,44,0.8342837596631163,0.11199350641011233,0.6952254547210773,0.9733420646051553,5,0.3007018574708441,0.26167616344820965,0.0,0.6256157288125698,5,0.16638655462184876,0.3104925459201206,0.0,0.5519139706014915,5,0.20384615384615384,0.33408445943429177,0.0,0.6186667994850799,5,0.14871794871794872,0.2914517382232374,0.0,0.5106030792836505,5,0.04612405249572722,0.02452477769965641,0.015672518962113333,0.07657558602934111,5
lightgbm,835,5,44,0.8026327807488141,0.1899910296248868,0.5667277592819273,1.0,5,0.2845802707837728,0.17078096015441288,0.07252770098136677,0.49663284058617885,5,0.07936507936507936,0.12498425196844144,0.0,0.23455352537672103,5,0.10153846153846154,0.1441563910784305,0.0,0.280532262451531,5,0.06871794871794872,0.11556111856330784,0.0,0.21220602923016474,5,0.06058724586215828,0.03847458919650709,0.012814733611175938,0.10835975811314062,5
