comparison,variant,n_rows,roc_auc_mean,roc_auc_std,roc_auc_ci_low,roc_auc_ci_high,pr_auc_mean,pr_auc_std,pr_auc_ci_low,pr_auc_ci_high,f1_mean,f1_std,f1_ci_low,f1_ci_high,precision_mean,precision_std,precision_ci_low,precision_ci_high,recall_mean,recall_std,recall_ci_low,recall_ci_high,brier_mean,brier_std,brier_ci_low,brier_ci_high
as_available,clean,1313,0.847849392903486,0.16102852271400042,0.6479060735655746,1.0,0.5960130079343795,0.4336991924409838,0.05750433463036375,1.0,0.5022670086819213,0.4398331805413452,0.0,1.0,0.5659663370998117,0.4725077376200491,0.0,1.0,0.47789213085764815,0.4517265738400741,0.0,1.0,0.07576685115634245,0.046228312143209715,0.01836682027039306,0.13316688204229182
as_available,corrupted,299,0.8718513636710273,0.13626423812704247,0.6550245530861745,1.0,0.6224259301668782,0.43123440692749426,0.0,1.0,0.34597402597402593,0.4737764865602829,0.0,0.9342452325313987,0.35789473684210527,0.4956877759145728,0.0,0.9733724025449252,0.34233870967741936,0.4723089401139369,0.0,0.9287877166466725,0.07559943446490099,0.06665557130867283,0.0,0.1583632576385838
as_available,healed_mice,1366,0.7996717950707927,0.2022068397802278,0.5485988419251271,1.0,0.5502905482086928,0.40666752593748157,0.0453461220135265,1.0,0.48911409430036035,0.38907464154822313,0.006014119275897234,0.9722140693248235,0.7331044298167585,0.37048815150212944,0.2730826303355026,1.0,0.42961990292483404,0.3703578827765133,0.0,0.8894799524194006,0.08812767236781113,0.023182332532648765,0.05934300466763327,0.11691234006798899
as_available,healed_mice_plus_compensator,1366,0.8396763842123599,0.12925923917197069,0.6791798404973142,1.0,0.5794771857510583,0.3721518552062444,0.11738962527672464,1.0,0.4437735857027195,0.3608261315283627,0.0,0.8917984028326236,0.7647435897435897,0.28693470566018076,0.40846709589014946,1.0,0.36987363136038864,0.34502294383553256,0.0,0.7982761992752487,0.09984852149405195,0.05119053958498271,0.03628707144275427,0.16340997154534964
common_rows,clean,299,0.8740179982737464,0.1732750861165172,0.5982986694691331,1.0,0.6189991316723913,0.3996120972364281,0.0,1.0,0.35578093306288033,0.48719896992963674,0.0,0.9607183539864685,0.3592592592592593,0.4940663001220825,0.0,0.972723596846585,0.355241935483871,0.4876874022786637,0.0,0.9607858252708039,0.07772953379736054,0.06916110551442144,0.0,0.16360438859058946
common_rows,corrupted,299,0.8718513636710273,0.13626423812704247,0.6550245530861745,1.0,0.6224259301668782,0.43123440692749426,0.0,1.0,0.34597402597402593,0.4737764865602829,0.0,0.9342452325313987,0.35789473684210527,0.4956877759145728,0.0,0.9733724025449252,0.34233870967741936,0.4723089401139369,0.0,0.9287877166466725,0.07559943446490099,0.06665557130867283,0.0,0.1583632576385838
common_rows,healed_mice,299,0.8718513636710273,0.13626423812704247,0.6550245530861745,1.0,0.6224259301668782,0.43123440692749426,0.0,1.0,0.34597402597402593,0.4737764865602829,0.0,0.9342452325313987,0.35789473684210527,0.4956877759145728,0.0,0.9733724025449252,0.34233870967741936,0.4723089401139369,0.0,0.9287877166466725,0.07559943446490099,0.06665557130867283,0.0,0.1583632576385838
common_rows,healed_mice_plus_compensator,299,0.8393652334948664,0.16244424028692656,0.5808801973369923,1.0,0.6489272950345593,0.39008197582676696,0.02821982367072773,1.0,0.3282051282051282,0.44950480460420184,0.0,0.8863390611017832,0.35,0.4873397172404482,0.0,0.9551121817922668,0.3229838709677419,0.45172179706749777,0.0,0.8838705635903605,0.0994130320772069,0.08705302671041318,0.0,0.2075036412781976
